Temperature (K),Pressure (MPa),Density (mol/l),,Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
108,0.4,0.48225,0.011326027,2.0736,1.219,2.0485,121.01,13.607,24.793,186.32,21.736,9.0504,0.0071776,vapor
108,0.58226,0.73345,0.01722566,1.3634,1.1509,1.9448,117.22,14.344,27.619,182.37,21.795,9.1867,0.0075919,vapor
108,0.58226,31.48,0.739332984,0.031766,-3.7564,-3.7379,64.603,19.128,48.006,685.24,-0.23427,148.44,0.098464,liquid
108,1.4,31.588,0.74186945,0.031658,-3.7729,-3.7286,64.449,19.161,47.583,692.3,-0.24552,150.52,0.099323,liquid
108,2.4,31.715,0.744852147,0.031531,-3.7923,-3.7166,64.267,19.204,47.107,700.58,-0.25836,153.02,0.10035,liquid
108,3.4,31.838,0.7477409,0.031409,-3.811,-3.7042,64.091,19.247,46.668,708.52,-0.27031,155.47,0.10135,liquid
108,4.4,31.957,0.750535711,0.031292,-3.8291,-3.6914,63.919,19.292,46.262,716.16,-0.28147,157.88,0.10233,liquid
108,5.4,32.072,0.753236578,0.03118,-3.8466,-3.6782,63.752,19.338,45.887,723.53,-0.29192,160.25,0.10329,liquid
108,6.4,32.184,0.755866987,0.031071,-3.8635,-3.6646,63.59,19.384,45.537,730.65,-0.30173,162.58,0.10423,liquid
108,7.4,32.293,0.758426939,0.030967,-3.8799,-3.6507,63.431,19.43,45.211,737.54,-0.31095,164.88,0.10515,liquid
108,8.4,32.398,0.760892948,0.030866,-3.8958,-3.6365,63.276,19.476,44.905,744.23,-0.31965,167.14,0.10606,liquid
108,9.4,32.501,0.763311986,0.030768,-3.9113,-3.622,63.125,19.523,44.619,750.73,-0.32787,169.38,0.10695,liquid
108,10.4,32.601,0.765660566,0.030674,-3.9263,-3.6073,62.977,19.569,44.35,757.06,-0.33565,171.59,0.10782,liquid
108,11.4,32.699,0.767962174,0.030582,-3.9409,-3.5923,62.833,19.615,44.096,763.22,-0.34302,173.78,0.10868,liquid
108,12.4,32.794,0.770193325,0.030493,-3.9551,-3.577,62.691,19.66,43.856,769.24,-0.35002,175.94,0.10952,liquid
108,13.4,32.888,0.77240099,0.030406,-3.969,-3.5616,62.552,19.705,43.63,775.12,-0.35667,178.07,0.11035,liquid
108,14.4,32.979,0.774538198,0.030322,-3.9826,-3.5459,62.416,19.75,43.415,780.87,-0.36301,180.19,0.11116,liquid
108,15.4,33.068,0.776628434,0.03024,-3.9958,-3.5301,62.283,19.795,43.211,786.49,-0.36904,182.28,0.11195,liquid
108,16.4,33.156,0.778695185,0.030161,-4.0087,-3.514,62.152,19.839,43.018,792.01,-0.3748,184.35,0.11275,liquid
108,17.4,33.241,0.780691478,0.030083,-4.0213,-3.4978,62.023,19.883,42.834,797.41,-0.38031,186.41,0.11355,liquid
108,18.4,33.325,0.782664285,0.030007,-4.0336,-3.4814,61.896,19.926,42.658,802.71,-0.38557,188.44,0.11433,liquid
108,19.4,33.408,0.784613606,0.029933,-4.0456,-3.4649,61.772,19.969,42.491,807.91,-0.39061,190.46,0.1151,liquid
